corridor,indicator,split,window,params,feasible,n_feasible,fitted
UZS,level,7,2024-07…2024-12,"{""window"": 120, ""pct"": 0.3, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 52, ""_score"": 1.2486}",True,52.0,
UZS,reversal,7,2024-07…2024-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.3339}",True,13.0,
UZS,seasonality,7,2024-07…2024-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0047}",True,4.0,
UZS,dip_vs_trend,7,2024-07…2024-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.3794}",True,6.0,
UZS,ml_localmin,7,2024-07…2024-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0018, ""_fitted"": true, ""_pos_rate_val"": 0.685}",,,True
UZS,momentum,8,2025-01…2025-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.95}",True,4.0,
UZS,level,8,2025-01…2025-06,"{""window"": 120, ""pct"": 0.3, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 52, ""_score"": 1.2058}",True,52.0,
UZS,reversal,8,2025-01…2025-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.0659}",True,13.0,
UZS,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0047}",True,4.0,
UZS,dip_vs_trend,8,2025-01…2025-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.4234}",True,6.0,
UZS,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0016, ""_fitted"": true, ""_pos_rate_val"": 0.623}",,,True
UZS,momentum,9,2025-07…2025-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9495}",True,4.0,
UZS,level,9,2025-07…2025-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.2085}",True,54.0,
UZS,reversal,9,2025-07…2025-12,"{""window"": 120, ""rise_bps"": 30, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 0.9949}",True,15.0,
